refYear,reporter,partner,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,dataset_type,source_side
2020,India,China,China,Import,89,"Ships, boats and floating structures",52586492.227,hs2,India_reporter
2020,India,China,China,Import,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1577666981.371,hs2,India_reporter
2020,India,China,China,Import,91,Clocks and watches and parts thereof,28430704.765,hs2,India_reporter
2020,India,China,China,Import,92,Musical instruments; parts and accessories of such articles,25895367.523,hs2,India_reporter
2020,India,China,China,Import,93,Arms and ammunition; parts and accessories thereof,54333.383,hs2,India_reporter
2020,India,China,China,Import,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",572159727.344,hs2,India_reporter
2020,India,China,China,Import,95,"Toys, games and sports requisites; parts and accessories thereof",294789567.753,hs2,India_reporter
2020,India,China,China,Import,96,Miscellaneous manufactured articles,293822454.156,hs2,India_reporter
2020,India,China,China,Import,97,Works of art; collectors' pieces and antiques,4797285.65,hs2,India_reporter
2021,India,China,China,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8022255.093,hs2,India_reporter
2021,India,China,China,Import,5,Animal originated products; not elsewhere specified or included,7029292.813,hs2,India_reporter
2021,India,China,China,Import,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",7571272.233,hs2,India_reporter
2021,India,China,China,Import,7,Vegetables and certain roots and tubers; edible,35457157.002,hs2,India_reporter
2021,India,China,China,Import,8,"Fruit and nuts, edible; peel of citrus fruit or melons",9910772.132,hs2,India_reporter
2021,India,China,China,Import,9,"Coffee, tea, mate and spices",14841951.421,hs2,India_reporter
2021,India,China,China,Import,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",14970527.06,hs2,India_reporter
2021,India,China,China,Import,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",8038210.615,hs2,India_reporter
2021,India,China,China,Import,13,"Lac; gums, resins and other vegetable saps and extracts",29027459.098,hs2,India_reporter
2021,India,China,China,Import,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,58845323.95,hs2,India_reporter
2021,India,China,China,Import,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,13492609.142,hs2,India_reporter
2021,India,China,China,Import,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",768298.415,hs2,India_reporter
2021,India,China,China,Import,17,Sugars and sugar confectionery,6526653.267,hs2,India_reporter
2021,India,China,China,Import,18,Cocoa and cocoa preparations,1231513.184,hs2,India_reporter
2021,India,China,China,Import,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",848450.733,hs2,India_reporter
2021,India,China,China,Import,20,"Preparations of vegetables, fruit, nuts or other parts of plants",25215196.844,hs2,India_reporter
2021,India,China,China,Import,21,Miscellaneous edible preparations,32009376.549,hs2,India_reporter
2021,India,China,China,Import,22,"Beverages, spirits and vinegar",1910274.937,hs2,India_reporter
2021,India,China,China,Import,23,"Food industries, residues and wastes thereof; prepared animal fodder",76922772.843,hs2,India_reporter
2021,India,China,China,Import,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",161643538.716,hs2,India_reporter
2021,India,China,China,Import,26,"Ores, slag and ash",57543922.71,hs2,India_reporter
2021,India,China,China,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",787203035.465,hs2,India_reporter
2021,India,China,China,Import,31,Fertilizers,2687498771.164,hs2,India_reporter
2021,India,China,China,Import,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",884068053.322,hs2,India_reporter
2021,India,China,China,Import,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",131495551.899,hs2,India_reporter
2021,India,China,China,Import,35,Albuminoidal substances; modified starches; glues; enzymes,208609543.451,hs2,India_reporter
2021,India,China,China,Import,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,798.112,hs2,India_reporter
2021,India,China,China,Import,38,Chemical products n.e.c.,1707679975.645,hs2,India_reporter
2021,India,China,China,Import,41,Raw hides and skins (other than furskins) and leather,26765407.624,hs2,India_reporter
2021,India,China,China,Import,45,Cork and articles of cork,399369.945,hs2,India_reporter
2021,India,China,China,Import,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3100182.935,hs2,India_reporter
2021,India,China,China,Import,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,25546126.754,hs2,India_reporter
2021,India,China,China,Import,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",454678844.947,hs2,India_reporter
2021,India,China,China,Import,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",155648959.897,hs2,India_reporter
2021,India,China,China,Import,60,Fabrics; knitted or crocheted,493360815.165,hs2,India_reporter
