refYear,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd
2022,China,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",67191758.484
2022,China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",65720531.153
2022,China,Export,30,Pharmaceutical products,52226545.183
2022,China,Export,41,Raw hides and skins (other than furskins) and leather,44252291.81
2022,China,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",33792754.071
2022,China,Export,62,Apparel and clothing accessories; not knitted or crocheted,32989453.766
2022,China,Export,61,Apparel and clothing accessories; knitted or crocheted,26604465.722
2022,China,Export,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",25000100.635
2022,China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",24339661.691
2022,China,Export,88,"Aircraft, spacecraft, and parts thereof",22057154.816
2022,China,Export,75,Nickel and articles thereof,21058143.184
2022,China,Export,70,Glass and glassware,18210659.305
2022,China,Export,50,Silk,18144725.6
2022,China,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",16493367.335
2022,China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",16187121.766
2022,China,Export,55,Man-made staple fibres,15570175.451
2022,China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",15247704.366
2022,China,Export,83,Metal; miscellaneous products of base metal,13086967.412
2022,China,Export,44,Wood and articles of wood; wood charcoal,12702181.93
2022,China,Export,57,Carpets and other textile floor coverings,12615806.856
2022,China,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",10609493.256
2022,China,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10193788.336
2022,China,Export,69,Ceramic products,8411612.408
