partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,partner_flow_total_usd,sample_share
China,Import,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",3706014081.574,497514038904.799,0.007449064331394995
China,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",3227719957.368,497514038904.799,0.006487696235614439
China,Import,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",3072029944.831,497514038904.799,0.006174760317505017
China,Import,83,Metal; miscellaneous products of base metal,2568986677.648,497514038904.799,0.005163646604431969
China,Import,60,Fabrics; knitted or crocheted,2540824273.013,497514038904.799,0.00510704035328578
China,Import,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2464390056.233,497514038904.799,0.004953408071977179
China,Import,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2394673318.323,497514038904.799,0.0048132778797448745
China,Import,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",2260196403.641,497514038904.799,0.004542980151105838
China,Import,69,Ceramic products,2123188042.391,497514038904.799,0.004267594231239933
China,Import,96,Miscellaneous manufactured articles,1993860874.961,497514038904.799,0.004007647461265976
China,Import,55,Man-made staple fibres,1883560451.62,497514038904.799,0.003785944323835303
China,Import,74,Copper and articles thereof,1700524664.082,497514038904.799,0.0034180435748616153
China,Import,40,Rubber and articles thereof,1647325063.704,497514038904.799,0.0033111127222265604
China,Import,81,"Metals; n.e.c., cermets and articles thereof",1630290109.475,497514038904.799,0.0032768725744178676
China,Import,95,"Toys, games and sports requisites; parts and accessories thereof",1516574094.489,497514038904.799,0.003048304119874699
China,Import,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",1417127572.645,497514038904.799,0.002848417254243899
China,Import,64,Footwear; gaiters and the like; parts of such articles,1312597931.186,497514038904.799,0.0026383133510674063
China,Import,35,Albuminoidal substances; modified starches; glues; enzymes,1251973490.822,497514038904.799,0.0025164586180885028
China,Import,99,Commodities not specified according to kind,1152046535.047,497514038904.799,0.0023156060833641077
China,Import,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1105318602.084,497514038904.799,0.0022216832403708442
China,Import,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1059919269.4230001,497514038904.799,0.0021304308753904715
China,Import,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",969807017.459,497514038904.799,0.0019493058318392014
China,Import,89,"Ships, boats and floating structures",968527411.618,497514038904.799,0.0019467338323759967
China,Import,30,Pharmaceutical products,949219851.933,497514038904.799,0.001907925762301225
China,Import,61,Apparel and clothing accessories; knitted or crocheted,937395435.261,497514038904.799,0.0018841587612774358
China,Import,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",923036367.597,497514038904.799,0.0018552971281552643
China,Import,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",747693517.003,497514038904.799,0.001502859132676804
China,Import,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",726074397.7260001,497514038904.799,0.0014594048427745711
China,Import,62,Apparel and clothing accessories; not knitted or crocheted,720660894.176,497514038904.799,0.0014485237356566352
China,Import,44,Wood and articles of wood; wood charcoal,715896281.619,497514038904.799,0.00143894689523724
China,Import,75,Nickel and articles thereof,617270828.809,497514038904.799,0.0012407103730536473
China,Import,91,Clocks and watches and parts thereof,567484677.693,497514038904.799,0.0011406405313551164
China,Import,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",512040215.272,497514038904.799,0.001029197520534653
China,Import,52,Cotton,483374247.46099997,497514038904.799,0.0009715791106620315
China,Import,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,460624545.482,497514038904.799,0.0009258523568420188
China,Import,50,Silk,413102371.555,497514038904.799,0.0008303330946487091
China,Import,26,"Ores, slag and ash",402699417.13699996,497514038904.799,0.0008094232235606478
China,Import,23,"Food industries, residues and wastes thereof; prepared animal fodder",379120170.53,497514038904.799,0.000762029090404313
China,Import,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,311606875.175,497514038904.799,0.000626327803454461
China,Import,37,Photographic or cinematographic goods,250229534.421,497514038904.799,0.0005029597455618378
China,Import,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",245413394.607,497514038904.799,0.0004932793356891798
China,Import,13,"Lac; gums, resins and other vegetable saps and extracts",187457059.072,497514038904.799,0.0003767874761577744
China,Import,57,Carpets and other textile floor coverings,183942483.462,497514038904.799,0.00036972320191591224
China,Import,21,Miscellaneous edible preparations,179918089.412,497514038904.799,0.0003616341959074404
China,Import,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",175260589.197,497514038904.799,0.0003522726506026028
China,Import,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",172033149.466,497514038904.799,0.0003457855176201754
China,Import,92,Musical instruments; parts and accessories of such articles,166120374.297,497514038904.799,0.00033390087777761723
China,Import,7,Vegetables and certain roots and tubers; edible,157129868.67299998,497514038904.799,0.0003158300196289884
China,Import,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,146320131.508,497514038904.799,0.00029410251785075525
China,Import,41,Raw hides and skins (other than furskins) and leather,142952052.348,497514038904.799,0.0002873327005257722
China,Import,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",124279098.682,497514038904.799,0.00024980018444420465
China,Import,65,Headgear and parts thereof,119714059.678,497514038904.799,0.00024062448557538634
China,Import,9,"Coffee, tea, mate and spices",114245855.50400001,497514038904.799,0.00022963343055704472
China,Import,20,"Preparations of vegetables, fruit, nuts or other parts of plants",107705013.29,497514038904.799,0.00021648638001672496
China,Import,8,"Fruit and nuts, edible; peel of citrus fruit or melons",98047061.688,497514038904.799,0.0001970739597697295
China,Import,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",84121625.20199999,497514038904.799,0.0001690839225103695
China,Import,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",83311347.463,497514038904.799,0.00016745526949630844
China,Import,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",42208937.616000004,497514038904.799,8.483969157717944e-05
China,Import,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",41596414.097,497514038904.799,8.360852326613363e-05
China,Import,17,Sugars and sugar confectionery,37183945.072000004,497514038904.799,7.473948906819748e-05
China,Import,88,"Aircraft, spacecraft, and parts thereof",35308501.791999996,497514038904.799,7.096986020681197e-05
