partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change,exposure_score
European Union,Import,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.06343937123659557,0.07185855327719312,0.00841918204059755,0.08027773531779067
European Union,Import,39,Plastics and articles thereof,0.04667019277067068,0.0448320891450544,-0.0018381036256162817,0.042993985519438116
European Union,Import,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.022742212690010394,0.03253711149566237,0.009794898805651979,0.04233201030131435
European Union,Import,72,Iron and steel,0.030686163686890727,0.029906801169893325,-0.0007793625169974019,0.029127438652895923
European Union,Import,38,Chemical products n.e.c.,0.030826415511278803,0.027388234196716252,-0.0034381813145625516,0.0239500528821537
European Union,Import,29,Organic chemicals,0.05523151147527263,0.03943316068665318,-0.01579835078861945,0.02363480989803373
European Union,Import,76,Aluminium and articles thereof,0.011991591948722884,0.01709448638240302,0.005102894433680137,0.02219738081608316
European Union,Import,74,Copper and articles thereof,0.011012328849326259,0.016489924247100274,0.005477595397774015,0.02196751964487429
European Union,Import,73,Iron or steel articles,0.017874266883002875,0.016837896802449733,-0.0010363700805531423,0.01580152672189659
European Union,Import,40,Rubber and articles thereof,0.009756513127494131,0.011560354483656958,0.0018038413561628271,0.013364195839819785
European Union,Import,30,Pharmaceutical products,0.03166283548830831,0.02240892543241889,-0.009253910055889422,0.013155015376529466
European Union,Import,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.008242367945602342,0.010455404581495265,0.002213036635892923,0.012668441217388188
European Union,Import,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.011858620407950288,0.010840816288703295,-0.0010178041192469931,0.009823012169456302
European Union,Import,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",0.010733041933197011,0.010225045394385103,-0.0005079965388119084,0.009717048855573195
European Union,Import,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.004505015320487981,0.006943149047300285,0.0024381337268123042,0.00938128277411259
European Union,Import,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0.0014731760788936773,0.0045944224115099085,0.0031212463326162313,0.007715668744126139
European Union,Import,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",0.0054818455480326505,0.006531048206798787,0.0010492026587661362,0.007580250865564923
European Union,Import,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",0.0049125780986212396,0.005665944844007453,0.0007533667453862138,0.006419311589393667
European Union,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.01219304648452916,0.009266124799223795,-0.0029269216853053653,0.00633920311391843
European Union,Import,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.011320228056833685,0.008500800287161306,-0.002819427769672379,0.005681372517488927
European Union,Import,44,Wood and articles of wood; wood charcoal,0.00429314102546104,0.004876869239595541,0.0005837282141345013,0.0054605974537300424
European Union,Import,22,"Beverages, spirits and vinegar",0.001487726095389398,0.0033803241693774015,0.0018925980739880036,0.005272922243365405
European Union,Import,35,Albuminoidal substances; modified starches; glues; enzymes,0.004658163495594835,0.0047870996958090635,0.0001289362002142285,0.004916035896023292
European Union,Import,83,Metal; miscellaneous products of base metal,0.0034021759283862957,0.004009230381721211,0.0006070544533349153,0.004616284835056127
European Union,Import,69,Ceramic products,0.0036371513287580415,0.004008782813720584,0.0003716314849625422,0.004380414298683126
European Union,Import,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",0.003219837049761716,0.00374968773676393,0.0005298506870022139,0.004279538423766144
European Union,Import,55,Man-made staple fibres,0.0024095683679498424,0.003235183377128101,0.0008256150091782584,0.004060798386306359
European Union,Import,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",0.00642255362275438,0.005068320288337144,-0.001354233334417236,0.0037140869539199085
European Union,Import,75,Nickel and articles thereof,0.0025502598290568553,0.003092446968080714,0.0005421871390238588,0.003634634107104573
European Union,Import,79,Zinc and articles thereof,0.0007883636362179204,0.0021090361013372744,0.001320672465119354,0.003429708566456628
