partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change
China,Import,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",,0.00013102503310394247,
China,Import,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2.511747916931833e-05,,
China,Import,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",,3.5682248371586423e-06,
China,Import,24,Tobacco and manufactured tobacco substitutes,0.00011770020383979362,,
China,Import,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",,1.174601720542098e-06,
China,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",,0.21264147227583768,
China,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",0.21040390538283563,,
China,Import,88,"Aircraft, spacecraft and parts thereof",6.97366774342631e-05,,
China,Import,88,"Aircraft, spacecraft, and parts thereof",,0.00012378828713918518,
European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.07380212420015951,0.16453066770682973,0.09072854350667021
European Union,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.03702102609033406,0.09948770256412577,0.06246667647379171
European Union,Export,29,Organic chemicals,0.1336597560518755,0.15676892529794886,0.02310916924607337
European Union,Export,72,Iron and steel,0.05216889552406027,0.055156663292758895,0.002987767768698628
European Union,Export,76,Aluminium and articles thereof,0.009500464446084045,0.011930959393854237,0.0024304949477701922
European Union,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",0.0017721762887130742,0.0032573600465149954,0.0014851837578019212
European Union,Export,93,Arms and ammunition; parts and accessories thereof,0.00021486522513817921,0.001059595841697436,0.0008447306165592567
European Union,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.0021260700995907066,0.002801586034301813,0.0006755159347111065
European Union,Export,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,9.102363376151545e-05,0.0006920511949568406,0.0006010275611953251
European Union,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.004223230935114826,0.004790352865658488,0.0005671219305436615
European Union,Export,9,"Coffee, tea, mate and spices",0.011153328985237954,0.01159716963516007,0.0004438406499221153
European Union,Export,74,Copper and articles thereof,0.0018516091442040891,0.0022453884044431544,0.00039377926023906524
European Union,Export,75,Nickel and articles thereof,0.00020952631007297058,0.0005000091242067748,0.0002904828141338042
European Union,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",0.0005698826879385823,0.0007976810245161072,0.00022779833657752494
European Union,Export,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0.0003108205879109038,0.0005244466266122917,0.00021362603870138792
European Union,Export,89,"Ships, boats and floating structures",1.6758791528957566e-05,0.00016191845169957755,0.00014515966017061998
European Union,Export,79,Zinc and articles thereof,6.568741110924193e-05,0.00018846557979044517,0.00012277816868120324
European Union,Export,78,Lead and articles thereof,6.828985697187585e-05,0.00012594485324110192,5.7654996269226066e-05
European Union,Export,81,"Metals; n.e.c., cermets and articles thereof",0.0003836096206102635,0.0004260414418394324,4.243182122916887e-05
European Union,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",2.512366124096204e-05,4.835076012017143e-05,2.3227098879209392e-05
European Union,Export,92,Musical instruments; parts and accessories of such articles,0.00016669153349651596,0.00018832456018898496,2.1633026692468996e-05
European Union,Export,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",0.00019763837217349453,0.00021289086780617558,1.5252495632681051e-05
European Union,Export,97,Works of art; collectors' pieces and antiques,4.728888195653168e-05,6.204362783311474e-05,1.4754745876583053e-05
European Union,Export,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2.7160870412712783e-05,4.0573969005862407e-05,1.3413098593149624e-05
European Union,Export,80,Tin; articles thereof,2.030156275401695e-05,3.187166861136126e-05,1.1570105857344306e-05
European Union,Export,1,Animals; live,2.1694662160294782e-07,8.648857989740562e-07,6.479391773711084e-07
